record_id,plant_type,habitat,season,air_humidity_pct,soil_humidity_pct,ethylene_ppm,co2_ppm,o2_ppm,ldr_on_plant,leaf_color_index,temperature_c,health_score,health_class
php_00093,basil,garden,spring,43.7,62.3,0.163,569,18.63,841,43.9,15.1,72,moderate_stress
php_00094,rose,greenhouse,winter,70.2,26,0.513,801.2,19.06,62,62.6,12.9,66,moderate_stress
php_00095,snake_plant,indoor,summer,36.4,27.3,1.017,629.6,20.21,846,43.8,10.6,60,moderate_stress
php_00096,mint,garden,winter,75.2,87.5,1.705,606.4,20.17,646,21.4,11.4,45,high_stress
php_00097,snake_plant,shade_house,winter,60.2,57.1,0.331,366.5,19.28,1003,68,32.7,67,moderate_stress
php_00098,pothos,shade_house,winter,46.5,47.6,0.389,633.9,20.92,682,75.4,26.5,89,healthy
php_00099,rose,garden,winter,90.4,86.2,2.03,1221.5,18.86,811,69.5,19.2,46,high_stress
php_00100,pothos,shade_house,autumn,29,16.1,1.643,415.7,21.01,413,22.8,11,33,high_stress
php_00101,mint,indoor,winter,25.4,30.5,1.452,446,18.71,684,69.8,19.3,56,moderate_stress
php_00102,snake_plant,shade_house,monsoon,80.2,35.5,1.128,970.4,19.27,875,47.3,30.1,60,moderate_stress
php_00103,aloe_vera,arid_garden,winter,39,74.8,1.536,457.1,19.28,663,24.5,18,32,high_stress
php_00104,pothos,shade_house,autumn,55.8,52.1,1.35,733.4,18.51,290,66.3,22.9,73,moderate_stress
php_00105,rose,garden,winter,41,41.5,0.415,1001.7,19.33,954,53.4,9.5,72,moderate_stress
php_00106,tomato,greenhouse,monsoon,89.7,36.3,1.833,974.6,20.82,213,83.4,22.7,61,moderate_stress
php_00107,tomato,garden,spring,38.6,57.4,0.412,807.7,20.31,272,76.2,19.8,93,healthy
php_00108,mint,indoor,autumn,44,87.7,0.693,463.3,19.64,564,27,27.4,60,moderate_stress
php_00109,rose,garden,monsoon,88.4,55.8,0.949,442.8,21.11,964,52.8,19.5,92,healthy
php_00110,mint,indoor,winter,66.2,32.5,0.125,540.9,18.52,431,32.7,29.1,50,high_stress
php_00111,aloe_vera,indoor,winter,45.6,84.4,0.356,860.7,19.52,39,29.1,25.1,29,high_stress
php_00112,snake_plant,shade_house,spring,47.7,71.8,0.789,361,20.37,676,51.5,22.5,65,moderate_stress
php_00113,rose,garden,autumn,76.5,23,1.59,395.5,20.61,863,67.1,30.3,68,moderate_stress
php_00114,snake_plant,shade_house,summer,52.1,20.1,0.111,696.7,20.19,396,62.8,23.5,100,healthy
php_00115,snake_plant,shade_house,winter,71.1,23.8,1.858,1242.2,18.8,839,60.6,36.2,39,high_stress
php_00116,aloe_vera,arid_garden,spring,57.9,87.1,1.978,676.2,21.13,147,92.4,36.9,26,high_stress
php_00117,rose,garden,autumn,26.6,35.2,1.149,586.1,19.84,744,75.6,30.9,74,moderate_stress
php_00118,rose,garden,monsoon,50.6,85.2,0.354,1244.8,21.08,1014,35.3,32.8,47,high_stress
php_00119,rose,greenhouse,summer,89.9,47.2,2.168,419.1,20.02,973,95.6,9.4,66,moderate_stress
php_00120,tomato,garden,winter,50.1,16.6,1.789,635.4,19.19,507,83.9,23.5,47,high_stress
php_00121,aloe_vera,arid_garden,autumn,51.7,76,1.682,1083.1,18.62,578,52.5,31.2,40,high_stress
php_00122,mint,indoor,summer,73.2,70.6,1.842,1165.9,19.38,200,80.7,29,61,moderate_stress
php_00123,tomato,greenhouse,summer,88.3,51.3,0.766,622,20.68,83,61.6,18.9,78,moderate_stress
php_00124,rose,greenhouse,monsoon,31.7,31,0.408,684.2,20.8,263,36.5,22.1,65,moderate_stress
php_00125,rose,garden,monsoon,57.8,15.6,1.459,859.8,20.14,156,62.2,15.1,62,moderate_stress
php_00126,mint,garden,autumn,48.8,63.3,0.954,861.1,18.45,764,53.2,33,61,moderate_stress
php_00127,lettuce,greenhouse,monsoon,42.5,62.8,2.328,887.6,19.51,80,63.5,29.4,47,high_stress
php_00128,aloe_vera,arid_garden,summer,89.4,9.1,1.153,1049.9,20.41,798,51.9,22.9,74,moderate_stress
php_00129,pothos,shade_house,monsoon,68.4,15.2,0.431,956.8,20.05,1013,34.2,14,38,high_stress
php_00130,pothos,indoor,winter,78.3,60.7,2.434,714.5,19.21,413,25.8,37.5,22,high_stress
php_00131,tomato,garden,monsoon,34.9,68.8,2.198,1141,18.72,118,78.9,29.6,52,high_stress
php_00132,lettuce,greenhouse,monsoon,91.4,24.7,0.933,1224,19.38,352,98.2,9.4,44,high_stress
php_00133,mint,indoor,summer,64.2,30.1,0.702,1204.4,18.61,404,98,29.6,57,moderate_stress
php_00134,pothos,shade_house,spring,68.2,47.9,2.353,575.6,19.1,631,65.5,20.1,64,moderate_stress
php_00135,lettuce,hydroponic,winter,25.6,12.1,1.854,758.5,19.68,506,53.2,14.9,44,high_stress
php_00136,snake_plant,indoor,winter,80.4,14,0.726,364.5,18.4,905,24.9,31.4,38,high_stress
php_00137,pothos,shade_house,autumn,31.1,50.7,1.991,625.4,19.68,183,38.2,17,67,moderate_stress
php_00138,mint,garden,spring,53.8,74.6,1.085,1081.8,20.97,656,87.8,16.3,88,healthy
php_00139,snake_plant,shade_house,autumn,37.8,32,1.879,809.9,18.55,655,73.9,31,65,moderate_stress
php_00140,tomato,greenhouse,winter,44.7,15.7,1.042,458.9,19.71,180,57.6,8.6,23,high_stress
php_00141,pothos,indoor,winter,76,15.3,2.112,597.4,19.76,782,29.4,18,31,high_stress
php_00142,basil,greenhouse,summer,39.8,85.6,1.269,380.9,18.79,400,32.5,12.9,32,high_stress
php_00143,basil,indoor,monsoon,67.3,48.8,2.429,781,18.53,1006,66.6,36.6,48,high_stress
php_00144,aloe_vera,arid_garden,winter,34.5,84.5,2.392,1206.1,19.53,508,93.6,13.2,14,high_stress
php_00145,tomato,greenhouse,summer,60.9,50.9,2.43,655.1,20.18,153,91.4,24.1,67,moderate_stress
php_00146,rose,greenhouse,winter,47.7,80,0.783,973.8,19.8,382,37.9,21,56,moderate_stress
php_00147,mint,indoor,winter,60.9,87.4,1.2,816.3,18.84,983,49,36.9,35,high_stress
php_00148,snake_plant,shade_house,spring,71.5,39.8,0.761,419.4,20.15,831,36.1,13.3,59,moderate_stress
php_00149,lettuce,greenhouse,monsoon,63.9,58.1,0.84,733.1,19.46,663,24.1,19.9,63,moderate_stress
php_00150,aloe_vera,arid_garden,winter,25.1,24.2,0.708,916.7,20.31,679,56.1,29.1,85,healthy
php_00151,pothos,shade_house,spring,32.9,25.4,1.4,1201.3,20.33,912,66.8,36.4,46,high_stress
php_00152,lettuce,greenhouse,winter,58.5,34.4,0.573,868.5,19.09,607,50,36,49,high_stress
php_00153,rose,greenhouse,monsoon,81.8,34,2.229,648.4,18.91,87,62.4,25.8,57,moderate_stress
php_00154,lettuce,hydroponic,summer,31.5,10.2,0.802,663.8,21.21,858,28.1,16,37,high_stress
php_00155,aloe_vera,arid_garden,monsoon,43.5,80.5,2.215,924.8,21.17,969,47.9,22.2,36,high_stress
php_00156,basil,garden,autumn,33.5,57.5,0.159,562.6,21.17,739,96.3,30.5,95,healthy
php_00157,rose,garden,summer,77.5,67,1.449,502.7,18.22,490,91.3,21.3,73,moderate_stress
php_00158,mint,greenhouse,spring,78.2,87.1,2.465,709.5,20.33,913,59,24.6,66,moderate_stress
php_00159,mint,indoor,winter,39.2,67.3,1.779,842.1,19.08,126,58,37.2,49,high_stress
php_00160,tomato,garden,autumn,79.4,11.7,2.23,512.4,21.08,541,27.4,31.2,29,high_stress
php_00161,pothos,indoor,winter,27.3,86,1.284,1085.1,21.11,217,60.8,18.4,66,moderate_stress
php_00162,aloe_vera,arid_garden,monsoon,38.1,9.6,1.708,1071.4,21.29,202,32.3,24.2,50,high_stress
php_00163,mint,indoor,winter,38.1,47.9,0.143,396.8,20.2,58,75.5,13,88,healthy
php_00164,pothos,indoor,monsoon,26.4,35.5,1.841,532.8,18.76,647,82,21,67,moderate_stress
php_00165,aloe_vera,arid_garden,winter,37.8,18.6,0.418,594.4,21.08,783,81.1,14.1,89,healthy
php_00166,tomato,greenhouse,autumn,38.3,53.1,2.124,772.4,19.28,374,25.5,14.3,34,high_stress
php_00167,lettuce,greenhouse,spring,39.8,81,2.241,783.4,18.29,119,86,23.2,48,high_stress
php_00168,rose,greenhouse,spring,51.3,88.8,1.864,565.3,18.43,969,20.2,33.9,16,high_stress
php_00169,lettuce,greenhouse,winter,47.8,32.8,1.406,561.7,20.13,854,37.5,34.3,34,high_stress
php_00170,mint,greenhouse,winter,92.9,24.2,0.354,1003.5,19.86,333,85,37.1,44,high_stress
php_00171,basil,garden,autumn,72.3,52.8,0.865,750.3,20.08,257,98,26.4,85,healthy
php_00172,mint,indoor,autumn,34.9,29,0.952,1080.8,20.91,631,98.3,18.9,75,moderate_stress
php_00173,lettuce,hydroponic,winter,82.9,39.3,1.139,733,21.2,155,85.1,26.2,75,moderate_stress
php_00174,lettuce,greenhouse,winter,82.2,76.2,1.559,925.8,21.37,153,81,11.3,72,moderate_stress
php_00175,lettuce,hydroponic,monsoon,32.9,81.8,2.125,681.8,21.15,951,77.4,29.5,57,moderate_stress
php_00176,snake_plant,shade_house,winter,92.9,16.6,1.513,721.7,19.36,888,44.1,32.5,45,high_stress
php_00177,tomato,garden,summer,27.1,14.5,1.317,391.6,20.49,402,24.5,22.1,30,high_stress
php_00178,basil,greenhouse,winter,75.7,47.3,2.384,833.7,20.55,1013,42.4,14.8,59,moderate_stress
php_00179,rose,greenhouse,winter,80,21.5,0.927,1160.7,21.36,173,42.9,10.5,48,high_stress
php_00180,tomato,garden,autumn,70.6,17.5,0.176,384.6,21.25,100,31.6,12.2,30,high_stress
php_00181,aloe_vera,arid_garden,spring,84.3,77.4,1.417,600.5,19.64,275,36.1,31.8,34,high_stress
php_00182,rose,garden,spring,34.4,30,1.433,716.8,21.36,173,92.1,27.7,62,moderate_stress
php_00183,tomato,greenhouse,autumn,60.5,29.7,1.435,610.9,20.56,276,80.4,22.2,66,moderate_stress
php_00184,lettuce,hydroponic,monsoon,74.1,44.4,0.757,862.8,21.02,617,56.2,29.3,77,moderate_stress
php_00185,basil,greenhouse,winter,66.1,74.7,1.658,925,21.4,320,55.4,26.4,74,moderate_stress
php_00186,lettuce,hydroponic,winter,65.7,37.7,2.23,662.6,20.8,840,61.7,35.9,43,high_stress
php_00187,mint,greenhouse,winter,39.2,71.1,0.041,1219.9,20.87,976,38.9,24.7,68,moderate_stress
php_00188,basil,indoor,winter,34.1,69,2.235,488.8,18.79,776,29.6,32.3,38,high_stress
php_00189,rose,greenhouse,winter,61.2,67.3,0.973,755.5,18.72,903,28,11,57,moderate_stress
php_00190,tomato,garden,monsoon,56.4,81.6,1.196,339.1,21.06,190,66.8,13.8,66,moderate_stress
php_00191,basil,indoor,monsoon,71.1,76,0.837,1061.1,18.98,293,24.4,18.9,49,high_stress
php_00192,tomato,greenhouse,autumn,29.8,17.8,1.714,1056.7,19.37,797,34.7,9.9,14,high_stress
php_00193,aloe_vera,indoor,summer,68.1,79.2,2.479,629.2,20.08,159,84.6,38,23,high_stress
php_00194,mint,indoor,spring,65.6,83.5,0.613,1237.4,18.56,229,41.6,27.7,55,moderate_stress
php_00195,mint,indoor,summer,41.3,17.6,1.081,936.7,18.41,436,95.9,29.3,47,high_stress
php_00196,basil,garden,monsoon,59.9,12,2.393,865,21.28,733,21,34.3,15,high_stress
php_00197,mint,greenhouse,spring,42.7,10.9,1.441,793.6,18.77,883,76.1,10.1,32,high_stress
php_00198,lettuce,greenhouse,monsoon,26.6,35.1,1.591,633.8,19.47,781,74.3,8.8,49,high_stress
php_00199,basil,greenhouse,monsoon,57.4,70.6,1.664,1099.8,18.5,799,39.8,27.8,53,high_stress
php_00200,tomato,garden,winter,90.6,35,1.539,638.6,19.08,411,59,33.8,55,moderate_stress
php_00201,basil,garden,monsoon,84.2,43.6,0.747,688.2,18.3,539,68.2,23.7,85,healthy
php_00202,basil,garden,autumn,70.7,74.3,2.042,1192.6,18.83,416,21.8,36.2,23,high_stress
php_00203,snake_plant,shade_house,summer,83.5,32.1,0.084,736.9,20.03,870,25.1,35.9,44,high_stress
php_00204,snake_plant,shade_house,spring,33.5,9.1,0.951,1171.8,18.78,359,35.9,16.8,56,moderate_stress
php_00205,pothos,shade_house,autumn,67.6,60.5,1.37,1187.4,21.4,132,36.9,21.5,72,moderate_stress
php_00206,mint,greenhouse,spring,91.6,70.4,2.146,1248.5,19.34,365,84.9,20.3,63,moderate_stress
php_00207,rose,garden,monsoon,56.1,54.5,0.91,1131,20.84,176,58.5,18.5,79,moderate_stress
php_00208,tomato,greenhouse,monsoon,69.3,36.4,2.429,970.4,20.35,754,70,23.9,75,moderate_stress
php_00209,lettuce,hydroponic,summer,37.1,51.4,0.342,402.8,19.16,175,43.3,16.4,79,moderate_stress
php_00210,rose,garden,autumn,68.6,29,2.318,729.1,20.45,481,23.3,15.7,46,high_stress
php_00211,mint,greenhouse,summer,69.7,66.4,1.254,543.2,21.48,202,79.1,16.9,89,healthy
php_00212,mint,greenhouse,autumn,74.2,65.6,0.748,334.5,19.96,366,45.8,22,89,healthy
php_00213,tomato,greenhouse,spring,46.1,25.9,1.221,526.1,19.62,629,88.3,13.8,57,moderate_stress
php_00214,aloe_vera,indoor,monsoon,45.4,86.7,1.18,637.7,20.59,172,50.3,24.6,35,high_stress
php_00215,basil,garden,monsoon,79.3,13.4,1.237,1055.9,20.78,360,53.6,11.7,41,high_stress
php_00216,pothos,shade_house,summer,81.5,50.9,1.619,840.9,18.87,467,29.4,36.7,37,high_stress
php_00217,lettuce,hydroponic,monsoon,66.5,90,2.059,870.9,20.42,836,48.2,25.2,64,moderate_stress
php_00218,pothos,indoor,autumn,39.3,14.1,1.029,695.1,19.46,325,48.4,9.4,46,high_stress
php_00219,pothos,indoor,summer,85.7,17.2,1.958,695,21.49,905,71.4,26.1,51,high_stress
php_00220,rose,garden,monsoon,52.6,29.1,2.164,1145.4,19.09,799,43.2,15.9,55,moderate_stress
php_00221,aloe_vera,arid_garden,monsoon,36.5,31,0.871,1035.9,20.91,457,89.1,21.3,92,healthy
php_00222,aloe_vera,indoor,winter,88.7,30.5,0.802,662.9,20.3,265,63.5,26.5,85,healthy
php_00223,pothos,indoor,spring,45.1,42.1,0.966,1192.4,19.31,885,39.4,19,61,moderate_stress
php_00224,snake_plant,shade_house,monsoon,62.8,31.9,1.382,1065.6,19.06,503,80.7,22.4,76,moderate_stress
php_00225,pothos,shade_house,summer,45.6,50.7,1.106,387.1,21.14,397,42.5,35.1,68,moderate_stress
php_00226,basil,greenhouse,summer,93.4,61.2,1.551,745.4,18.95,672,80.7,28.9,78,moderate_stress
php_00227,tomato,greenhouse,summer,54.6,54.2,0.225,1028.6,18.4,67,97,18.2,69,moderate_stress
php_00228,basil,greenhouse,autumn,72.8,81.5,0.618,1063.4,19.19,44,42,37.8,34,high_stress
php_00229,rose,greenhouse,autumn,37.5,21.7,2.111,1220.1,20.85,759,59.8,24.9,55,moderate_stress
php_00230,pothos,indoor,summer,69.4,59.9,1.908,1072.5,19.32,540,38.7,29.6,56,moderate_stress
php_00231,tomato,greenhouse,summer,54.1,16.2,1.586,435.3,20.39,861,71.5,13.3,50,high_stress
php_00232,snake_plant,shade_house,summer,44.8,21,1.531,807.3,20.85,155,68.3,34.7,84,healthy
php_00233,aloe_vera,indoor,monsoon,64.2,56.8,2.105,882.9,18.38,782,67.3,37.4,41,high_stress
php_00234,lettuce,greenhouse,autumn,57.9,85.7,1.052,1181.8,19.17,91,85,24.5,65,moderate_stress
php_00235,snake_plant,indoor,winter,81.6,46.1,2.252,877.4,20.11,313,52.3,29.1,69,moderate_stress
php_00236,snake_plant,shade_house,spring,59.2,83.4,1.566,494.7,18.76,783,77.3,20.7,37,high_stress
php_00237,tomato,garden,spring,57.6,11.5,1.145,458.4,19.61,766,21.7,11.2,18,high_stress
php_00238,snake_plant,indoor,autumn,35,52.2,1.683,421.6,18.96,719,31.2,35.8,29,high_stress
php_00239,basil,garden,summer,43.8,84.3,0.249,856.3,21,968,86.7,18.5,82,healthy
php_00240,tomato,garden,summer,86,66.4,1.918,335.2,19.69,35,97.9,20.9,58,moderate_stress
php_00241,tomato,garden,winter,83.9,53.3,1.593,566.7,20.37,1016,84.5,29.4,83,healthy
php_00242,lettuce,hydroponic,spring,28.2,50,0.487,1112.9,20.83,950,87.3,34.9,60,moderate_stress
php_00243,tomato,greenhouse,spring,40.2,52.2,2.396,911.5,20.94,875,34.5,25.8,55,moderate_stress
php_00244,mint,greenhouse,spring,32.1,65.5,0.506,952.1,18.42,69,45.5,31.3,56,moderate_stress
php_00245,basil,garden,spring,46,82.2,1.091,847.8,18.65,784,77.6,33.1,64,moderate_stress
php_00246,pothos,indoor,spring,25.4,14.2,1.104,672.3,20.98,356,77.7,15.8,66,moderate_stress
php_00247,rose,greenhouse,monsoon,65.1,11.7,2.27,343.9,21.06,476,63,19.6,58,moderate_stress
php_00248,snake_plant,indoor,monsoon,64.9,58.6,2.435,1025.7,19.74,87,56.5,32,58,moderate_stress
php_00249,pothos,shade_house,autumn,76.1,53.4,0.522,363.8,20.14,199,57.7,14.4,90,healthy
php_00250,basil,garden,spring,92.1,46.3,2.1,1214.3,18.52,483,95,37.7,40,high_stress
php_00251,pothos,indoor,summer,55.1,77.1,0.68,377.9,21.46,560,22.3,26.2,50,high_stress
php_00252,lettuce,greenhouse,monsoon,38.6,65.1,0.473,455.3,20.93,242,24.1,29.8,54,high_stress
